id,drug_id,sentence_index,sentences,ADR1,ADR2,ADR3,ADR4,ADR5,ADR6,ADR7,ADR8,ADR9,ADR10,ADR11,ADR12,ADR13,ADR14,ADR15,ADR16,ADR17,ADR18,ADR19,ADR20,ADR21,ADR22,ADR23,ADR24,ADR25,ADR26,ADR27,ADR28,ADR29,ADR30
1,lexapro.1,1,"extreme weight gain, short-term memory loss, hair loss.",extreme weight gain,short-term memory loss,hair loss,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,lexapro.2,1,COMPLETELY DESTROYED SEXUALLY FUNCTIONING .,COMPLETELY DESTROYED SEXUALLY FUNCTIONING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,lexapro.2,4,"Just TWO tablets of Lexapro 10mg completely destroyed my sexual functioning, probably for life.",completely destroyed my sexual functioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,lexapro.2,5,It's called PSSD: post-SSRI sexual dysfunction.,PSSD,post-SSRI sexual dysfunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,lexapro.2,8,"And there is a chance that it will give you PSSD, which as the name suggests persists even after you stop taking the drug, Just google 'PSSD' and you'll see what I mean, So please: NEVER take this drug, not even one tablet.",PSSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,lexapro.3,1,"Nausea, Blurred Vision, 3 to 5 hours sleep, Suicidal Thoughts.",Nausea,Blurred Vision,3 to 5 hours sleep,Suicidal Thoughts,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lexapro.3,5,"I was unable to sleep, had blurred vision, and felt sick to my stomach.",unable to sleep,blurred vision,felt sick to my stomach,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lexapro.3,6,Unable to eat anything significant for the 3 days.,Unable to eat anything significant for the 3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,lexapro.3,7,While driving to a friends house crazy thoughts kept happening.,crazy thoughts kept happening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,lexapro.3,9,Would not have been able to work (software developer) if attempting this drug during work week.,not have been able to work ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,lexapro.4,2,"First 10 days were HORRIBLE, like a looong panic attack with anxiety/nausea.","First 10 days, looong panic attack","First 10 days, anxiety","First 10 days, nausea",,,,,,,,,,,,,,,,,,,,,,,,,,,
12,lexapro.4,3,"It calmed down when I got some Xanor for three weeks (was still worse than before lexapro though), after that back to lots of anxiety, derealisation, nausea etc, Also couldn't sleep much, woke at 6.30am with horrible anxiety no matter when I fell asleep the day before.",lots of anxiety,derealisation,nausea,couldn't sleep much,horrible anxiety,,,,,,,,,,,,,,,,,,,,,,,,,
13,lexapro.4,5,"My anxiety is worse than before, and I've been getting more and more dizzy by the week .",anxiety is worse,more and more dizzy by the week,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,lexapro.4,6,"the last three weeks I haven't been able to watch TV since it makes me feel nauseus, and I haven't been outside in two weeks due to the dizziness!","last three weeks, watch TV makes me feel nauseus","two weeks, dizziness",,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,lexapro.4,7,"The last week or two I've been feeling nausea all day, mostly due to the dizziness, Everyone's different though, and you should probably give it a try, others are having luck.","last week or two, feeling nausea","last week or two, dizziness",,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,lexapro.5,1,"Chronic cough, weight gain, no sexual interest.",Chronic cough,weight gain,no sexual interest,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,lexapro.5,2,Emergency Room visit with tachycardia and violent vertigo.,Emergency Room visit ,tachycardia,violent vertigo,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,lexapro.5,5,That quickly turned into a three week period of sleep.,three week period of sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,lexapro.5,6,I was unable to hold my body vertical.,unable to hold my body vertical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,lexapro.5,7,Slept through life and gained weight.,Slept through life,gained weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,lexapro.5,10,"After the third day at that dose I found myself in the ER with vertigo, dizziness, tachycardia, dry mouth, nausea, and a host of other complaints.",ER,vertigo,dizziness,tachycardia,dry mouth,nausea,,,,,,,,,,,,,,,,,,,,,,,,
22,lexapro.5,12,The vertigo is rendering me unable to function in daily life causing me to lose work.,vertigo,unable to function ,lose work,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,lexapro.5,13,I am seeing a specialist for the vertigo and undergoing testing which now I have been diagnosed with vestibular neurontitis.,vertigo,vestibular neurontitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,lexapro.5,14,My vertigo has not responded to conservative treatment thus far.,vertigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,lexapro.6,1,"Muscle spasms, muscle twitching, muscle soreness, insomnia, mental confusion, flush, brain zaps.",Muscle spasms,muscle twitching,muscle soreness,insomnia,mental confusion,flush,brain zaps,,,,,,,,,,,,,,,,,,,,,,,
26,lexapro.6,2,I took Lexapro for 3 days in 10mg doses and had severe side effects immediately.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,lexapro.7,1,I'm sorry this is more about not taking it than about side effects of taking it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,lexapro.7,2,"I was given samples today and took one dose before coming to this site, where I learned that insomnia and decreased libido are serious side effects for many people; these are already major, major issues for me, By now, the first feelings of ""tightness"" in my head, dry mouth, and a little bit of jitters have begun.","feelings of ""tightness"" in my head",dry mouth,little bit of jitters,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,lexapro.7,3,"As a result surely of prior conditions, but I do feel in part because of the drug or its jittery side effects, I've been unable to stop weeping for the past hour.",jittery,unable to stop weeping for the past hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,lexapro.8,1,Extreme Weight Gain 30 pounds.,Extreme Weight Gain,Gain 30 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,lexapro.9,1,"Excessive perspiration, Erectile dysfunction.",Excessive perspiration,Erectile dysfunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,lexapro.9,2,"Almost no libido at all, Utterly useless.",Almost no libido ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,lexapro.10,1,"Took a while to have an effect on mood obviously,but side-effects alarming:sudden migraines which I had had very infrequently before.",sudden migraines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,lexapro.10,2,Very big increase in blood pressure which I had never experienced before.,Very big increase in blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,lexapro.10,3,"Have your blood pressure checked even if like me, you have never had a problem with it you may be in for a nasty surprise!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,lexapro.11,1,"Heavy sedation, Jaw Clenching, Inability to organism.",heavy sedation,Jaw Clenching,Inability to organism,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,lexapro.11,3,Very bad side effects.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,lexapro.12,1,"emotionless, Zombie effect.",emotionless,Zombie effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,lexapro.12,2,Loss of memory.,Loss of memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,lexapro.12,3,"When i took lexapro i walked around in a ""zombie"" like state because i would never be happy about anything, but never really sad.","""zombie"" like","never be happy about anything, but never really sad",,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,lexapro.12,4,"I just kind of felt numb toward all emotion, Also, my memory started lacking and i couldnt remember long periods of time or things i had done.",felt numb toward all emotion,memory started lacking, couldnt remember long periods of time or things,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,lexapro.12,5,i still have difficulty remembering most of that year and for no particular reason.,difficulty remembering most of that year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,lexapro.13,1,"Jaw jacking/clenching teeth, headaches, vomitting, waking up in the middle of the night for hours, increase in anxiety, blurred vision.",Jaw jacking,clenching teeth,headaches,vomitting,waking up in the middle of the night,increase in anxiety,blurred vision,,,,,,,,,,,,,,,,,,,,,,,
44,lexapro.13,2,I started feeling the side effects the fist day i took 10mg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,lexapro.13,3,"Crazy dreams and visions, slight insomnia, my teeth are killing me from grinding them and I guess that caused my headaches.",Crazy dreams ,Crazy visions,slight insomnia,teeth are killing me from grinding,headaches,,,,,,,,,,,,,,,,,,,,,,,,,
46,lexapro.13,4,Can hardly even read and feel like I'm in a fog or that I'm stoned.,can hardly even read ,feel like I'm in a fog ,feel like I'am stoned,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,lexapro.13,5,Clumsy and at first gave me tons of energy but I think that was the increased anxiety.,Clumsy ,at first gave me tons of energy,increased anxiety,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,lexapro.13,6,"About four hours after my dose it's like I went downhill, my head got very heavy, and that was the foggy state.",head got very heavy,foggy state,like I went downhill,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,lexapro.13,7,I haven't noticed any positive changes and the side effects are horrible.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,lexapro.13,8,The increase in anxiety has made me stop taking this pill.,increase in anxiety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,lexapro.14,1,"Fatigue, dizziness, apathy, muscle jerks, jaw clenching, interfered with Thyroid replacement medicine, insomnia.",Fatigue,dizziness,apathy,muscle jerks,jaw clenching,insomnia,interfered with Thyroid replacement medicine,,,,,,,,,,,,,,,,,,,,,,,
52,lexapro.14,3,"I took this for two months, hoping that the side effects would ease.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,lexapro.14,7,"I became more tired, cold and weak after about 6 weeks so I had to discontinue.",more tired,cold,weak,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,lexapro.15,1,"Insomnia, tension, somnolence, loss of memory, jaw movements.",Insomnia,tension,somnolence,loss of memory,jaw movements,,,,,,,,,,,,,,,,,,,,,,,,,
55,lexapro.16,1,"Got fat, hated life.",Got fat,hated life,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,lexapro.17,1,"night sweats, major mood swings and moment of over excitement combined with rudeness.",night sweats,major mood swings ,moment of over excitement combined with rudeness,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,lexapro.17,2,head felt completely detached from body and feeling suicidal.,head felt completely detached from body,feeling suicidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,lexapro.18,1,"Headaches, Nausea, Fatigue, Interrupted Sleep, Vivid Dreams, Weight Gain.",Headaches,Nausea,Fatigue,Interrupted Sleep,Vivid Dreams,Weight Gain,,,,,,,,,,,,,,,,,,,,,,,,
59,lexapro.19,3,"if you are an othewise phyically healthy human you may risk compromising the proper functioning of the T-cells which may have UKNOWN consequences, the worst being autoimmunce disease which will make you very sick with flu-like symptoms and unable to get better,please beware.",very sick,flu-like symptoms ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,lexapro.19,5,"The risks of such dangerous and hidden physiological side effects are in NO WAY worth the potential positive effects of so-called subjective ""mental stability"" which is merely illusory and masks the hidden danger.",physiological side effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,lexapro.20,1,Heart burn.,Heart burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,lexapro.20,2,I had to take a heart burn relief medication each day I took Lexapro.,"heart burn, each day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,lexapro.21,1,I had pain all over my body!,pain all over my body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,lexapro.21,2,My legs were the worst and my left leg felt like it was on fire!,left leg felt like it was on fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,lexapro.21,3,"It hurt so bad, I ended up in the E,R.",hurt so bad,"ended up in the E,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,lexapro.21,6,"my arms felt like needles are poking them, Felt like a knife in my shoulder, I got chills easily, felt like my legs were not getting enough circulation, it felt like my blood had carbonation in it!",arms felt like needles are poking them,Felt like a knife in my shoulder,got chills easily,felt like my legs were not getting enough circulation,,,,,,,,,,,,,,,,,,,,,,,,,,
67,lexapro.21,7,This is the most awful feeling!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,lexapro.21,8,"I am still having aches, pains, pins and needles throughout my entire body after being off of the Lexapro for a few days.",aches,pains,pins and needles throughout my entire body,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,lexapro.22,1,"Weight gain, HAIR LOSS, increased depression, fatigue, lethargy.",Weight gain,HAIR LOSS,increased depression,fatigue,lethargy,,,,,,,,,,,,,,,,,,,,,,,,,
70,lexapro.22,2,"I switched from Cymbalta to Lexapro and after approximately 30 days, I began feeling very bad.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,lexapro.22,3,I gained 13 lbs in 6 weeks and could not get out of bed after 60 days.,gained 13 lbs,could not get out of bed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,lexapro.22,4,My hair started falling out by the handful.,hair started falling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,lexapro.23,1,"Reduced cognition, fatigue, addiction.",Reduced cognition,fatigue,addiction,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,lexapro.23,2,The med was okay until side effects had negative impacts and it was extremely difficult to get off of.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,lexapro.24,1,From the moment I swallowed this pill I experienced a dry mouth and dry eyes.,dry mouth,dry eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,lexapro.24,2,But more alarming was the sensation of pressure behind my eyes-like they were going to pop out!,sensation of pressure behind my eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,lexapro.24,3,"Also I had a severe inablility to concentrate which made it impossible to do my job,I am a Registered Nurse.",severe inablility to concentrate,impossible to do my job,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,lexapro.24,4,I also found myself making a bizarre sucking motion with my mouth-possibly from the dryness?,sucking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,lexapro.25,1,"Disturbed sleep, exhaustion, nausea, dizzyness, jaw-clenching and increased anxiety.",Disturbed sleep,exhaustion,nausea,dizzyness,jaw-clenching,increased anxiety,,,,,,,,,,,,,,,,,,,,,,,,
80,lexapro.25,3,"It's been four days since I discontinued, and I'm still wiped out and dizzy with flu-like symptoms.",wiped out ,dizzy,flu-like symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,lexapro.25,7,"Everyone is different, but for me Lexapro was like some kind of torture device, Can't wait for it to leave my system.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,lexapro.26,1,1)  After two to three hours vomit 2)  Stiff muscles (Lack of oxygen?),vomit ,Stiff muscles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,lexapro.26,2,"3)  Spacey, out of sync with time (as in Where did that tree come from?",Spacey,out of sync with time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,lexapro.26,4,"4)  Weird, (as in How did that tree get there?",weird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,lexapro.26,5,"), 5)  Weak muscles 6)  Cant catch breath 7)  Listless 8)  Unmotivated 9)  Difficulty getting moving 10)  Reaction time slowed, [as in Put your hand on your solar plexus (Huh?",Weak muscles,Cant catch breath,Listless,Unmotivated,Difficulty getting moving,Reaction time slowed,,,,,,,,,,,,,,,,,,,,,,,,
86,lexapro.26,8,"11)  Forgetful, stupid (its Sunday, right?)",Forgetful,stupid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,lexapro.26,9,12)  Depressed (as in Whats the use?).,depressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,lexapro.27,1,suidical feelings.,suidical feelings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,lexapro.27,2,"I took this medication for a month before I started getting extreme suicidal feelings, which I had not had before taking it.",extreme suicidal feelings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,lexapro.28,1,"Racing heart, severe anxiety, panic, nausea, speeded-up metabolism.",Racing heart,severe anxiety,panic,nausea,speeded-up metabolism,,,,,,,,,,,,,,,,,,,,,,,,,
91,lexapro.28,2,"It was brilliant for 2 weeks, except for some queasiness.",some queasiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,lexapro.28,3,But into the 3rd week I began to wake in the night with very scary heart palpitations.,began to wake in the night,very scary heart palpitations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
