id,drug_id,sentence_index,sentences,SSI1,SSI2,SSI3,SSI4,SSI5,SSI6,SSI7,SSI8,SSI9,SSI10
0,lexapro.4,5,"My anxiety is worse than before, and I've been getting more and more dizzy by the week .",anxiety,,,,,,,,,
1,lexapro.5,4,I did experience relief of my depression initially with the 10mg per day dose.,depression,,,,,,,,,
2,lexapro.13,1,"Jaw jacking/clenching teeth, headaches, vomitting, waking up in the middle of the night for hours, increase in anxiety, blurred vision.",anxiety,,,,,,,,,
3,lexapro.13,5,Clumsy and at first gave me tons of energy but I think that was the increased anxiety.,anxiety,,,,,,,,,
4,lexapro.13,8,The increase in anxiety has made me stop taking this pill.,anxiety,,,,,,,,,
5,lexapro.18,3,"There was no improvement in the level of my anxiety, depression, or OCD.",anxiety,depression,OCD,,,,,,,
6,lexapro.21,11,I would rather have panic attacks and be depressed than take another pill of Lexapro!,panic attacks,depressed,,,,,,,,
7,lexapro.22,1,"Weight gain, HAIR LOSS, increased depression, fatigue, lethargy.",depression,,,,,,,,,
8,lexapro.24,5,I took myself off this drug and started a strict regimen of exercise and improved my diet which did wonders for my depression and anxiety.,depression,anxiety,,,,,,,,
9,lexapro.25,1,"Disturbed sleep, exhaustion, nausea, dizzyness, jaw-clenching and increased anxiety.",anxiety,,,,,,,,,
10,lexapro.26,11,"After eight weeks of the above I sincerely doubt that anybody taking lexapro can know which way is up, much less notice a decrease in depression.",depression,,,,,,,,,
11,lexapro.28,9,I'd rather be depressed.,depressed,,,,,,,,,
12,lexapro.31,7,"I was taking Ativan, Ambien, Atenolol and Lexapro for the anxiety and depression and have quit them all cold turkey.",anxiety,depression,,,,,,,,
13,lexapro.32,1,"Constant yawning,severe tremors,headache, lost all sex drive the first day, couldn't orgasm if I tried, terrible jaw clenching, helped somewhat with social anxiety, but general anxiety got worse, panic attacks increased,.",social anxiety,anxiety,panic attacks,,,,,,,
14,lexapro.34,3,"i have noticed increases in my headaches, the front of my brain burns and i've noticed an increase in suicidal thoughts and anxiety.",headaches,suicidal thoughts,anxiety,,,,,,,
15,lexapro.35,1,extreme lethargy; hungry more than usual; weight gain; zero motivation; memory issues (short term memory negatively affected); hopeless; social anxiety magnified.,social anxiety,,,,,,,,,
16,lexapro.36,4,"It was frankly disturbing, and I think going off the drug and feeling healthy and whole again has done more for my depression than any medication ever has.",depression,,,,,,,,,
17,lexapro.36,5,"I've heard great things about what this drug can do for depression, but the side effects are a real possibility.",depression,,,,,,,,,
18,lexapro.37,1,"Increased anxiety, SERIOUS constipation (for which even laxatives and epsom salts barely helped) and stomach cramping, my stomach hurt all the time, disturbed sleep and trouble falling asleep, fatigue, headaches.",anxiety,,,,,,,,,
19,lexapro.37,2,"Had worsened depression and suicidal thoughts after going off this med- don't know if it's due to the Lexapro or my cycle of depression, just seems worth noting.",depression,suicidal thoughts,depression,,,,,,,
20,lexapro.39,6,"I'd rather be normal sized and anxious than overweight, taking BP meds and insulin medication!",anxious,,,,,,,,,
21,lexapro.40,4,"Compared to previous medication I was taking, Lexapro did in fact take away my physical pain I was suffering, but has caused so much more in emotional pain.",physical pain,,,,,,,,,
22,lexapro.41,2,"After being on Wellbutrin for about 6 months with good results, I went off medication altogether, Unfortunately, my depression returned with a vengeance after about 7 months.",depression,,,,,,,,,
23,lexapro.42,6,"I do not see the point of taking Lexapro-type SSRI's for anxiety, which was my primary issue for taking it.",anxiety,,,,,,,,,
24,lexapro.42,8,it just didn't help with the anxious and depressive symptoms.,anxious, depressive symptoms.,,,,,,,,
25,lexapro.43,1,"nausea, dizziness, spaciness, lack of coordination, massive headache in morning that lasts all day, feeling generally ""hungover"", lack of energy/motivation, dry mouth, jaw clenching, Dr. prescribed this to ""give me a better outlook, engergy, and be able to face the day"" because of depression related to death of parents/divorce/job cut/ and resulting overwhelming responsibilities related to those factors.",depression,,,,,,,,,
26,lexapro.43,2,I had a previous bad experience with Zoloft 10 yrs ago when a dr. misdiagnosed my hypothryroidism for depresssion instead.,hypothryroidism,depresssion,,,,,,,,
27,lexapro.44,3,I've become more depressed about this and cry every day.,depressed,,,,,,,,,
28,lexapro.45,4,I would rather be depressed than totally anihilated !,depressed,,,,,,,,,
29,lexapro.46,3,I don't wanna be sad but does life really have to be that boring?,sad,,,,,,,,,
