id,drug_id,sentence_index,sentences,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
4,lexapro.5,4,I did experience relief of my depression initially with the 10mg per day dose.,depression,,,,,,,,,
11,lexapro.21,11,I would rather have panic attacks and be depressed than take another pill of Lexapro!,panic attacks,depressed,,,,,,,,
7,lexapro.31,7,"I was taking Ativan, Ambien, Atenolol and Lexapro for the anxiety and depression and have quit them all cold turkey.",anxiety,depression,,,,,,,,
1,lexapro.32,1,"Constant yawning,severe tremors,headache, lost all sex drive the first day, couldn't orgasm if I tried, terrible jaw clenching, helped somewhat with social anxiety, but general anxiety got worse, panic attacks increased,.",social anxiety,,,,,,,,,
4,lexapro.36,4,"It was frankly disturbing, and I think going off the drug and feeling healthy and whole again has done more for my depression than any medication ever has.",depression,,,,,,,,,
5,lexapro.36,5,"I've heard great things about what this drug can do for depression, but the side effects are a real possibility.",depression,,,,,,,,,
4,lexapro.40,4,"Compared to previous medication I was taking, Lexapro did in fact take away my physical pain I was suffering, but has caused so much more in emotional pain.",physical pain,,,,,,,,,
2,lexapro.41,2,"After being on Wellbutrin for about 6 months with good results, I went off medication altogether, Unfortunately, my depression returned with a vengeance after about 7 months.",depression,,,,,,,,,
6,lexapro.42,6,"I do not see the point of taking Lexapro-type SSRI's for anxiety, which was my primary issue for taking it.",anxiety,,,,,,,,,
1,lexapro.43,1,"nausea, dizziness, spaciness, lack of coordination, massive headache in morning that lasts all day, feeling generally ""hungover"", lack of energy/motivation, dry mouth, jaw clenching, Dr. prescribed this to ""give me a better outlook, engergy, and be able to face the day"" because of depression related to death of parents/divorce/job cut/ and resulting overwhelming responsibilities related to those factors.",depression,,,,,,,,,
2,lexapro.43,2,I had a previous bad experience with Zoloft 10 yrs ago when a dr. misdiagnosed my hypothryroidism for depresssion instead.,depresssion,,,,,,,,,
3,lexapro.50,3,"AND CALLED 911)  I started on 10 and I felt very depressed still, actually worse, panicky and extremely anxious, then the pdoc doubled my dose to 20!",depressed,,,,,,,,,
2,lexapro.57,2,"It certainly erased the anxiety, but I hardly feel human anymore.",anxiety,,,,,,,,,
6,lexapro.58,6,Now my anxiety is up but my depression is decreasing.,depression,,,,,,,,,
7,lexapro.64,7,I tried it because my bipolar manifests as depression for the winter months.,bipolar,depression,,,,,,,,
7,lexapro.68,7,Helpful with anxiety.,anxiety,,,,,,,,,
5,lexapro.69,5,"Lexapro really helps with my anger problem, especially toward my kids and husband.",anger,,,,,,,,,
3,lexapro.70,3,I started on 10mg and continued to have anxiety so the dosage was increased.,anxiety,,,,,,,,,
1,lexapro.71,1,"Initially, Lexapro seemed to agree with me except for the occasional bad nightmare, Now, after 4 years of use, I am no longer depressed, but I am exhausted all the time.",depressed,,,,,,,,,
3,lexapro.75,3,"I basically needed to use it to get rid of a severe anxiety that I let gradually build up on its own before I did anything about it, but I could feel it working in situations where I would normally get a little anxious as well.",anxiety,anxious,,,,,,,,
2,lexapro.79,2,Its early days so far but I do think it has taken the edge of my anxiety and obsessing.,anxiety,obsessing,,,,,,,,
3,lexapro.79,3,The depression is so terrible that I am very keen to give Lexapro a fair try.,depression,,,,,,,,,
2,lexapro.80,2,I would say that the drug did remove the initial anxiety and depression I was feeling.,anxiety,depression,,,,,,,,
2,lexapro.84,2,"Worked really well first six months or so for my depression but after several freaky alcohol incidents where I drank 3-4 glasses of wine and then blacked out completely, I cut down my dosage from 20 to 10 mg and plan to go back on Welbutrin at my next doctor's consult.",depression,,,,,,,,,
2,lexapro.85,2,It is now back to 112/72)  Lexapro worked great for my depression after only 2 days.,depression,,,,,,,,,
2,lexapro.89,2,Lexapro is a good drug for anxiety.,anxiety,,,,,,,,,
2,lexapro.90,2,"Lexapro has helped with my depression, but not so much the anxiety.",depression,anxiety,,,,,,,,
3,lexapro.91,3,"I will be going back to the doctor in 2 weeks, I am on 10 mg and I think we will have to go to 20mg, because I still feel anxious (chest is tight, heavy sighing.).",anxious,chest is tight,heavy sighing,,,,,,,
2,lexapro.92,2,"I really didn't think that I was depressed, but I think since taking the Lexapro, my mood has lifted.",depressed,mood has lifted,,,,,,,,
4,lexapro.92,4,"My anxiety improved slightly for a week, but this week seems to be worse than ever.",anxiety,,,,,,,,,
